"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.onlinepokerwebsites.com/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Best Online Poker Sites 2026 — Expert Reviews & Rankings","56","523","Compare the best online poker sites for US and Canadian players in 2026. Independent reviews of Americas Cardroom, BetOnline, Black Chip Poker, TigerGaming & SportsBetting.ag — bonuses, traffic, banking and safety.","214","1352","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","The Best Online Poker Sites for US & Canada","43","Top 5 online poker sites right now","34","Compare the top poker sites","27","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/","","","","","","176444","18693","18693","2,770","","1040","204","5,098","80,617","Easy","4,092","0","0","","209","33","0","100,000","62","22","0","0","0","0","","","","","351532115532a1921dda557394cbb952","0,212","Tue, 11 Aug 2026 09:08:04 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/","2026-08-13 16:10:47"
"https://www.onlinepokerwebsites.com/reviews/sportsbetting-ag/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","SportsBetting.ag Review 2026 — 100% up to $1,000 Bonus | Online Poker Websites","78","732","SportsBetting.ag review: BetOnline's sister room — same pool, same fast crypto banking. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.3/5.","178","1088","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","SportsBetting.ag Review","23","Overview","8","Key facts","9","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/reviews/sportsbetting-ag/","","","","","","91044","15395","15395","2,282","","848","165","5,139","69,431","Normal","7,137","1","2","","46","33","0","100,000","37","15","0","0","0","0","","","","","a7a931d27a499472ca0fb282480e1a86","0,302","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/reviews/sportsbetting-ag/","2026-08-13 16:10:47"
"https://www.onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Poker Tournament Formats Explained (2026): A Player's Guide | Online Poker Websites","83","772","Freezeout, rebuy, bounty, mystery bounty, turbo, PKO — online poker tournament formats decoded, so US and Canadian players can pick the right events in 2026.","157","993","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Poker Tournament Formats Explained: Freezeouts, Rebuys, Bounties and More","73","Freezeouts: the classic format","30","Rebuys and re-entries: paying to stay in","40","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","","","","","","60959","12074","12074","1,789","","1293","173","7,474","69,306","Normal","15,275","1","2","","21","21","0","63,640","41","19","0","0","0","0","","","","","e78d49380ed47864a9d2dbf3e4f4c8f6","0,340","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","2026-08-13 16:10:47"
"https://www.onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Online Poker Account Security 2026: Protect Your Funds | Online Poker Websites","78","716","At offshore rooms your account security is on you. Here's a practical 2026 checklist — passwords, 2FA, crypto wallet hygiene and scam-spotting — to protect your funds.","167","1039","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Protecting Your Online Poker Account: Security Habits Every Player Needs","72","Start with a strong, unique password","36","Turn on two-factor authentication everywhere","44","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","","","","","","62381","12286","12286","1,821","","1360","166","8,193","62,599","Normal","15,605","1","2","","21","21","0","63,640","42","19","0","0","0","0","","","","","934eab0e1745cae828538bfb6d2de3bc","0,366","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","2026-08-13 16:10:47"
"https://www.onlinepokerwebsites.com/guides/us-poker-legality/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Is Online Poker Legal in the US? State-by-State (2026) | Online Poker Websites","78","695","A plain-English guide to US online poker law in 2026: regulated states, the offshore option, what federal law actually says, and what it all means for players. Not legal advice.","177","1057","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","US Online Poker Legality Explained","34","Federal vs. state law","21","States with regulated online poker","34","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/guides/us-poker-legality/","","","","","","57157","9827","9827","1,456","","682","97","7,031","60,270","Normal","9,727","1","2","","111","33","0","100,000","38","15","0","0","0","0","","","","","9fc4bd22709f38273caf3284eeec6f6","0,307","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/guides/us-poker-legality/","2026-08-13 16:10:47"
"https://www.onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Multi-Tabling Poker 2026: How Many Tables Should You Play? | Online Poker Websites","82","765","Playing more tables can multiply your volume and rewards — or your mistakes. Here's how to find your right number of tables for US-facing online poker in 2026.","159","984","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Multi-Tabling Online Poker in 2026: How Many Tables Should You Really Play?","75","Why players multi-table in the first place","42","The win-rate-versus-volume trade-off","36","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","","","","","","61889","12109","12109","1,795","","1408","178","7,910","73,649","Fairly Easy","15,625","1","2","","21","21","0","63,640","41","19","0","0","0","0","","","","","c7342f561f382615ce2c4753401b680e","0,360","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","How to Choose an Online Poker Site (2026 Guide) | Online Poker Websites","71","658","The 9 factors that actually matter when picking an online poker site — traffic, safety, bonuses, banking, rake and more. A practical guide for US and Canadian players.","167","1017","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","How to Choose an Online Poker Site","34","1. Player traffic and game selection","36","2. Safety, licensing and reputation","35","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","","","","","","59149","10754","10754","1,594","","781","121","6,455","73,221","Fairly Easy","10,472","1","2","","63","33","0","100,000","42","15","0","0","0","0","","","","","9544261a1a4ebd04fa13ca55b60e0daa","0,260","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","2026-08-13 16:10:48"
"https://onlinepokerwebsites.com/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,154","","https://www.onlinepokerwebsites.com/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerwebsites.com/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/guides/deposits-and-withdrawals/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Poker Site Deposits & Withdrawals: Crypto, Cards & Payout Speeds | Online Poker Websites","88","809","The fastest, cheapest ways to deposit and cash out at online poker sites — cryptocurrency, cards and vouchers — plus payout speeds, fees and security tips for US & Canadian players.","181","1125","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Deposits & Withdrawals at Online Poker Sites","44","Cryptocurrency: the default option","34","How to use crypto if you're new to it","37","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/guides/deposits-and-withdrawals/","","","","","","56001","9724","9724","1,441","","584","83","7,036","74,677","Fairly Easy","8,668","1","2","","118","33","0","100,000","38","15","0","0","0","0","","","","","dab528f80f1f4e3e06b9b8518621b3d4","0,259","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/guides/deposits-and-withdrawals/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/about/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","About & Review Methodology | Online Poker Websites","50","476","How Online Poker Websites reviews and ranks poker sites for US and Canadian players — our methodology, editorial independence and advertiser disclosure.","152","963","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","About Online Poker Websites","27","What we do","10","How we rank poker sites","23","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/about/","","","","","","35663","6931","6931","1,027","","366","50","7,320","68,345","Normal","9,288","1","1","","34","33","0","100,000","31","14","0","0","0","0","","","","","428da541311c0bd5aae2b7a0a4f1336f","0,186","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/about/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/reviews/tigergaming/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","TigerGaming Review 2026 — 100% up to $1,000 Bonus | Online Poker Websites","73","699","TigerGaming review: A Chico room with a clear, tiered rakeback ladder for regulars. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.1/5.","174","1050","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","TigerGaming Review","18","Overview","8","Key facts","9","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/reviews/tigergaming/","","","","","","90613","15195","15195","2,252","","854","154","5,545","69,353","Normal","7,133","1","2","","44","33","0","100,000","37","15","0","0","0","0","","","","","29adddc9683afcd48fa97a37a5214693","0,323","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/reviews/tigergaming/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/reviews/black-chip-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Black Chip Poker Review 2026 — 100% up to $2,000 Bonus | Online Poker Websites","78","733","Black Chip Poker review: A WPN room with rich promotions and one of the biggest weekly schedules. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.4/5.","188","1160","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Black Chip Poker Review","23","Overview","8","Key facts","9","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/reviews/black-chip-poker/","","","","","","91091","15376","15376","2,279","","885","155","5,710","76,482","Fairly Easy","7,145","1","2","","46","33","0","100,000","37","15","0","0","0","0","","","","","42c7f351d187e27487f5045fd0a34df0","0,245","Thu, 13 Aug 2026 13:10:48 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/reviews/black-chip-poker/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/reviews/americas-cardroom/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Americas Cardroom Review 2026 — 100% up to $2,000 Bonus | Online Poker Websites","79","762","Americas Cardroom review: The biggest US-facing poker room and home of the Venom. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.7/5.","172","1079","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Americas Cardroom Review","24","Overview","8","Key facts","9","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/reviews/americas-cardroom/","","","","","","92477","16275","16275","2,412","","964","164","5,878","69,318","Normal","7,728","1","2","","77","33","0","100,000","37","15","0","0","0","0","","","","","8530ab746157ddc7e5e83e718a348b73","0,241","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/reviews/americas-cardroom/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/news/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Poker News — US & Canada Online Poker Updates | Online Poker Websites","69","663","The latest online poker news, analysis and updates for US and Canadian players — operators, tournaments, crypto banking, legality and bonuses. Updated regularly.","161","1010","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Online poker news for US & Canada","33","Protecting Your Online Poker Account: Security Habits Every Player Needs","72","Reviews","7","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/","","","","","","76018","12204","12204","1,809","","859","142","6,049","74,632","Fairly Easy","8,382","1","1","","140","33","0","100,000","49","33","0","0","0","0","","","","","cce3d5c68146ceeac3c5cff9b7e6f66","0,227","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/responsible-gambling/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Responsible Gambling | Online Poker Websites","44","416","Play poker safely: set limits, recognise the warning signs of problem gambling, and find support helplines in the US and Canada.","128","782","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Responsible Gambling","20","Keep it a game","14","Use the tools sites provide","27","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/responsible-gambling/","","","","","","36123","7079","7079","1,049","","327","48","6,812","75,737","Fairly Easy","8,515","1","1","","44","33","0","100,000","30","14","0","0","0","0","","","","","e600611143ffb37c28e94052bd6a4c9","0,218","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/responsible-gambling/","2026-08-13 16:10:48"
