"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.onlinepokerwebsites.com/","1","Compare the best online poker sites for US and Canadian players in 2026. Independent reviews of Americas Cardroom, BetOnline, Black Chip Poker, TigerGaming & SportsBetting.ag — bonuses, traffic, banking and safety.","214","1352","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/sportsbetting-ag/","1","SportsBetting.ag review: BetOnline's sister room — same pool, same fast crypto banking. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.3/5.","178","1088","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","1","Freezeout, rebuy, bounty, mystery bounty, turbo, PKO — online poker tournament formats decoded, so US and Canadian players can pick the right events in 2026.","157","993","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","1","At offshore rooms your account security is on you. Here's a practical 2026 checklist — passwords, 2FA, crypto wallet hygiene and scam-spotting — to protect your funds.","167","1039","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/us-poker-legality/","1","A plain-English guide to US online poker law in 2026: regulated states, the offshore option, what federal law actually says, and what it all means for players. Not legal advice.","177","1057","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","1","Playing more tables can multiply your volume and rewards — or your mistakes. Here's how to find your right number of tables for US-facing online poker in 2026.","159","984","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","1","The 9 factors that actually matter when picking an online poker site — traffic, safety, bonuses, banking, rake and more. A practical guide for US and Canadian players.","167","1017","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/deposits-and-withdrawals/","1","The fastest, cheapest ways to deposit and cash out at online poker sites — cryptocurrency, cards and vouchers — plus payout speeds, fees and security tips for US & Canadian players.","181","1125","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/about/","1","How Online Poker Websites reviews and ranks poker sites for US and Canadian players — our methodology, editorial independence and advertiser disclosure.","152","963","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/tigergaming/","1","TigerGaming review: A Chico room with a clear, tiered rakeback ladder for regulars. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.1/5.","174","1050","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/black-chip-poker/","1","Black Chip Poker review: A WPN room with rich promotions and one of the biggest weekly schedules. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.4/5.","188","1160","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/americas-cardroom/","1","Americas Cardroom review: The biggest US-facing poker room and home of the Venom. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.7/5.","172","1079","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/","1","The latest online poker news, analysis and updates for US and Canadian players — operators, tournaments, crypto banking, legality and bonuses. Updated regularly.","161","1010","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/responsible-gambling/","1","Play poker safely: set limits, recognise the warning signs of problem gambling, and find support helplines in the US and Canada.","128","782","Non-Indexable","Canonicalised"
