"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1"
"https://www.onlinepokerwebsites.com/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/972-f708ded502b3627d.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/app/page-12534985cea52c48.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/reviews/sportsbetting-ag/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/reviews/sportsbetting-ag/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/guides/us-poker-legality/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/guides/us-poker-legality/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/webpack-8658fdbc42bfbbae.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/fd9d1056-aa94ea5c2eabf904.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","index, follow","index, follow, max-image-preview:large",""
"https://onlinepokerwebsites.com/","text/html","308","Permanent Redirect","1.1","Non-Indexable","Redirected","","","",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/main-app-2dcde4753ea0d175.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/guides/deposits-and-withdrawals/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/guides/deposits-and-withdrawals/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/about/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/about/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/reviews/tigergaming/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/reviews/tigergaming/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/reviews/black-chip-poker/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/reviews/black-chip-poker/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/_next/static/css/ac9e642a8cc62d1d.css?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","text/css; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://www.onlinepokerwebsites.com/reviews/americas-cardroom/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/reviews/americas-cardroom/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/news/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/news/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/responsible-gambling/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/responsible-gambling/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/guides/poker-bonuses-explained/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/guides/poker-bonuses-explained/","index, follow","index, follow, max-image-preview:large",""
"https://www.onlinepokerwebsites.com/_next/static/chunks/117-56189b2c667f7b85.js?dpl=dpl_MzgMbZCtmwSCwn1jhfoWPreUJPEv","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","",""
"https://onlinepokerwebsites.com/guides/poker-bonuses-explained/","text/html","308","Permanent Redirect","1.1","Non-Indexable","Redirected","","","",""
"https://onlinepokerwebsites.com/responsible-gambling/","text/html","308","Permanent Redirect","1.1","Non-Indexable","Redirected","","","",""
"https://www.onlinepokerwebsites.com/guides/canada-online-poker/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://onlinepokerwebsites.com/guides/canada-online-poker/","index, follow","index, follow, max-image-preview:large",""
